County,Scored Labels,Scored Probabilities
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.125
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.125
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0.125
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.125
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.25
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.25
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.25
San Mateo,0,0
Santa Barbara,0,0.0625
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0.125
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0.125
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.25
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0.125
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.25
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0.000578704
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0.125
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.125
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.25
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.25
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.125
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0.125
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.125
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0.125
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0.125
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.25
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0.25
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.375
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0.375
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0.125
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0.125
Mariposa,0,0
Mendocino,0,0
Merced,0,0.125
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0.125
Riverside,1,0.625
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0.25
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.125
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0.125
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0.25
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0
San Diego,0,0
San Francisco,0,0
San Joaquin,0,0
San Luis Obispo,0,0.125
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0.375
Riverside,1,0.625
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0.25
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.25
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.5
Sacramento,0,0
San Benito,0,0
San Bernardino,0,0.125
San Diego,0,0
San Francisco,0,0.125
San Joaquin,0,0
San Luis Obispo,0,0
San Mateo,0,0
Santa Barbara,0,0
Santa Clara,0,0
Santa Cruz,0,0
Shasta,0,0
Sierra,0,0
Siskiyou,0,0
Solano,0,0
Sonoma,0,0
Stanislaus,0,0
Sutter,0,0
Tehama,0,0
Trinity,0,0
Tulare,0,0
Tuolumne,0,0
Ventura,0,0
Yolo,0,0
Yuba,0,0
Alameda,0,0.375
Alpine,0,0
Amador,0,0
Butte,0,0
Calaveras,0,0
Colusa,0,0
Contra Costa,0,0
Del Norte,0,0
El Dorado,0,0
Fresno,0,0
Glenn,0,0
Humboldt,0,0
Imperial,0,0.125
Inyo,0,0
Kern,0,0
Kings,0,0
Lake,0,0
Lassen,0,0
Los Angeles,0,0
Madera,0,0
Marin,0,0
Mariposa,0,0
Mendocino,0,0
Merced,0,0
Modoc,0,0
Mono,0,0
Monterey,0,0
Napa,0,0
Nevada,0,0
Orange,0,0
Placer,0,0
Plumas,0,0
Riverside,0,0.375
Sacramento,0,0
